epoch,acc,loss,val_acc,val_loss
0,0.77960205078125,0.4861782556399703,0.506866455078125,1.9394594877958298
1,0.8139877319335938,0.41850453801453114,0.6683349609375,0.7097364291548729
2,0.8287124633789062,0.39253300335258245,0.672943115234375,0.7165573239326477
3,0.8391380310058594,0.3722823644056916,0.803680419921875,0.43105722591280937
4,0.8476409912109375,0.3551916452124715,0.700897216796875,0.6600739285349846
5,0.8549957275390625,0.33940217178314924,0.816741943359375,0.41815073788166046
6,0.862030029296875,0.3255858742631972,0.8043212890625,0.45164230838418007
7,0.8690376281738281,0.3118882509879768,0.822967529296875,0.4126869775354862
8,0.8743972778320312,0.30109890596941113,0.83673095703125,0.3843601495027542
9,0.8781967163085938,0.292634607758373,0.845489501953125,0.35527318716049194
10,0.8831062316894531,0.28317044908180833,0.832916259765625,0.38507720082998276
11,0.8869247436523438,0.27530571073293686,0.791168212890625,0.5508144721388817
12,0.8884048461914062,0.2704364168457687,0.839080810546875,0.3777257315814495
13,0.8942451477050781,0.2592939294409007,0.774444580078125,0.6385371759533882
14,0.8955230712890625,0.2564160239417106,0.844573974609375,0.3732948340475559
15,0.8984146118164062,0.25009022327139974,0.850494384765625,0.3577894978225231
16,0.9020233154296875,0.24212717730551958,0.8526611328125,0.34823451191186905
17,0.9037322998046875,0.23810655251145363,0.834320068359375,0.4025232568383217
18,0.9050064086914062,0.2346430285833776,0.835784912109375,0.4095158018171787
19,0.9074821472167969,0.23049536696635187,0.82025146484375,0.4629494473338127
20,0.9091873168945312,0.22600329923443496,0.814544677734375,0.47082242742180824
21,0.9107551574707031,0.2221796503290534,0.860015869140625,0.33543533831834793
22,0.91241455078125,0.21900801872834563,0.8333740234375,0.4057115688920021
23,0.9146804809570312,0.2139399943407625,0.84649658203125,0.3866703696548939
24,0.9169883728027344,0.2100030032452196,0.83709716796875,0.38109446316957474
25,0.9181900024414062,0.20698173018172383,0.85205078125,0.34961333125829697
26,0.9184303283691406,0.20524429832585156,0.8365478515625,0.3976660296320915
27,0.9199943542480469,0.2025590322446078,0.8389892578125,0.39218173921108246
28,0.9208831787109375,0.19992555165663362,0.806671142578125,0.5411505252122879
29,0.922271728515625,0.1970067482907325,0.852325439453125,0.3701365701854229
30,0.9227981567382812,0.19494541734457016,0.84625244140625,0.39578019827604294
31,0.9246597290039062,0.1907779946923256,0.833404541015625,0.40940554067492485
32,0.9259109497070312,0.18918632459826767,0.8050537109375,0.5985905304551125
33,0.9269027709960938,0.18618976371362805,0.784149169921875,0.6703406423330307
34,0.9272270202636719,0.18552687671035528,0.812530517578125,0.5325451269745827
35,0.9268951416015625,0.18604253884404898,0.846923828125,0.43366727977991104
36,0.9288215637207031,0.18148347944952548,0.823760986328125,0.4338974766433239
37,0.9300003051757812,0.17929072794504464,0.79962158203125,0.5574980303645134
